Algorithm,File,BitLength,Number,Result,TimeUS,Iterations
fermat,primes_1024.txt,1024,14726114374880676064...,1,2948,5
fermat,primes_1024.txt,1024,10596366459941065145...,1,2915,5
fermat,primes_1024.txt,1024,16373090479871813969...,1,2936,5
fermat,primes_1024.txt,1024,11001465965019455383...,1,2901,5
fermat,primes_1024.txt,1024,10285752175432497883...,1,2895,5
fermat,primes_1024.txt,1024,17687551337966151738...,1,2886,5
fermat,primes_1024.txt,1024,10339879697724684979...,1,2872,5
miller,primes_128.txt,128,17024587362745639879...,1,489,5
miller,primes_128.txt,128,32805699279372408324...,1,458,5
miller,primes_128.txt,128,24814622448888375501...,1,451,5
miller,primes_128.txt,128,27168504578214921655...,1,466,5
miller,primes_128.txt,128,26568876249339591544...,1,450,5
miller,primes_128.txt,128,24425246185634816544...,1,465,5
miller,primes_128.txt,128,28925048381859034661...,1,450,5
miller,primes_128.txt,128,19983510243961933497...,1,456,5
miller,primes_128.txt,128,22061476732603722598...,1,453,5
miller,primes_128.txt,128,24831443451050811362...,1,456,5
miller,primes_128.txt,128,27039150509148263979...,1,446,5
miller,primes_128.txt,128,26109180955035258963...,1,455,5
miller,primes_128.txt,128,23320247171681498962...,1,447,5
miller,primes_128.txt,128,20759657489867026325...,1,445,5
miller,primes_128.txt,128,24782213599090983811...,1,446,5
miller,primes_128.txt,128,31866209304232121013...,1,447,5
miller,primes_128.txt,128,18676904810841105852...,1,470,5
miller,primes_128.txt,128,20441442730522001670...,1,444,5
miller,primes_128.txt,128,18666770672938251666...,1,451,5
miller,primes_128.txt,128,21134037532359209005...,1,445,5
fermat,primes_128.txt,128,17024587362745639879...,1,482,5
fermat,primes_128.txt,128,32805699279372408324...,1,453,5
fermat,primes_128.txt,128,24814622448888375501...,1,508,5
fermat,primes_128.txt,128,27168504578214921655...,1,537,5
fermat,primes_128.txt,128,26568876249339591544...,1,545,5
fermat,primes_128.txt,128,24425246185634816544...,1,525,5
fermat,primes_128.txt,128,28925048381859034661...,1,453,5
fermat,primes_128.txt,128,19983510243961933497...,1,441,5
fermat,primes_128.txt,128,22061476732603722598...,1,503,5
fermat,primes_128.txt,128,24831443451050811362...,1,442,5
fermat,primes_128.txt,128,27039150509148263979...,1,455,5
fermat,primes_128.txt,128,26109180955035258963...,1,443,5
fermat,primes_128.txt,128,23320247171681498962...,1,449,5
fermat,primes_128.txt,128,20759657489867026325...,1,442,5
fermat,primes_128.txt,128,24782213599090983811...,1,442,5
fermat,primes_128.txt,128,31866209304232121013...,1,450,5
fermat,primes_128.txt,128,18676904810841105852...,1,440,5
